Date,Round,Result,BlackElo,BlackTitle,ECO,Opening,Variation,WhiteElo,WhiteTitle,ExcitementScore
2024.02.28,1.1,1-0,2002,None,B31,Sicilian,"Nimzovich-Rossolimo attack (with ...g6, without ...d6)",2614,GM,3.87
2024.02.28,1.2,0-1,2572,GM,B45,Sicilian,Taimanov variation,1999,None,320.92
2024.02.28,1.3,1-0,1998,None,C41,Philidor,Improved Hanham variation,2567,IM,5.9
2024.02.28,1.4,0-1,2563,GM,D37,QGD,4.Nf3,1996,None,4.04
2024.02.28,1.5,1-0,1995,None,B12,Caro-Kann,advance variation,2556,GM,6.21
2024.02.28,1.6,0-1,2552,GM,A46,Queen's pawn,Yusupov-Rubinstein system,1993,None,5.38
2024.02.28,1.7,1-0,1992,None,D02,"Queen's pawn game, Chigorin variation",None,2515,GM,4.96
2024.02.28,1.8,0-1,2506,GM,B18,Caro-Kann,"classical, Maroczy attack",1989,None,9.15
2024.02.28,1.9,1-0,1988,None,A05,Reti opening,None,2504,GM,6.55
2024.02.28,1.10,0-1,2498,GM,C22,Centre game,Hall variation,1983,None,162.51
2024.02.28,1.11,1-0,1983,None,A04,Reti opening,None,2497,IM,5.79
2024.02.28,1.12,0-1,2497,IM,A45,Queen's pawn game,None,1983,None,161.76
2024.02.28,1.13,1-0,1982,None,E61,King's Indian,Smyslov system,2493,GM,35.34
2024.02.28,1.14,0-1,2491,GM,B68,Sicilian,"Richter-Rauzer, Rauzer attack, 7...a6 defence, 9...Be7",1982,None,4.8
2024.02.28,1.15,0-1,2465,IM,A22,English,"Bremen, Smyslov system",1977,None,33.37
2024.02.28,1.16,1-0,1972,FM,B30,Sicilian defence,None,2463,GM,5.46
2024.02.28,1.24,1-0,1680,None,C45,Scotch,Schmidt variation,2164,WGM,9.48
2024.02.28,1.32,1-0,1977,WFM,E90,King's Indian,5.Nf3,2480,IM,9.77
2024.02.28,1.38,1-0,1708,None,A15,English opening,None,2169,WIM,159.82
2024.02.29,2.1,0-1,2614,GM,D85,Gruenfeld,modern exchange variation,2231,None,165.02
2024.02.29,2.2,1-0,2221,IM,A50,Kevitz-Trajkovich defence,None,2603,GM,4.01
2024.02.29,2.3,1/2-1/2,2209,FM,A00,"Clemenz (Mead's, Basman's or de Klerk's) opening",None,2572,GM,1.72
2024.02.29,2.4,0-1,2567,IM,D36,QGD,"exchange, positional line, 6.Qc2",2227,None,320.37
2024.02.29,2.5,1-0,2187,None,A15,English opening,None,2563,GM,6.36
2024.02.29,2.6,0-1,2556,GM,C79,Ruy Lopez,Steinitz defence deferred (Russian defence),2215,None,7.9
2024.02.29,2.7,1-0,2184,None,E70,King's Indian,4.e4,2552,GM,5.86
2024.02.29,2.8,0-1,2515,GM,A45,Queen's pawn game,None,2208,FM,162.34
2024.02.29,2.9,1-0,2180,None,E20,Nimzo-Indian,Kmoch variation,2506,GM,161.57
2024.02.29,2.10,0-1,2504,GM,B90,Sicilian,"Najdorf, Adams attack",2186,None,162.26
2024.02.29,2.11,0-1,2176,CM,B10,Caro-Kann,two knights variation,2498,GM,6.0
2024.02.29,2.12,1/2-1/2,2497,IM,B07,Pirc defence,None,2184,None,1.94
2024.02.29,2.13,1-0,2169,WIM,C10,French,Rubinstein variation,2497,IM,7.35
2024.02.29,2.14,0-1,2493,GM,B54,Sicilian,Prins (Moscow) variation,2182,None,7.66
